time,phase,left_hip_yaw,left_hip_roll,left_hip_pitch,left_knee,left_ankle_pitch,left_ankle_roll,right_hip_yaw,right_hip_roll,right_hip_pitch,right_knee,right_ankle_pitch,right_ankle_roll
2.520000000000002,0.2840000000000027,0.0014016420809932458,0.02800214654022544,-0.5293752453361459,0.9001636099342329,-0.4208079903772023,-0.028037194900025025,-0.015694832000302413,-0.3039068468765003,-0.8795464356379075,1.4174881645266113,-0.5903451871791809,0.3042993074920233
2.540000000000002,0.3180000000000027,0.0021641334117150465,0.043219628946791246,-0.52050035929106,0.8977791864938744,-0.4273256010236842,-0.043273743577540255,-0.014623179172835616,-0.2842942272620574,-0.8869511071688672,1.40970641949531,-0.5748481058689983,0.284659889434784
2.560000000000002,0.35200000000000276,0.0029266222260175513,0.05841703468432838,-0.5109951570981868,0.8941761621986966,-0.4332665117752116,-0.05849021553881444,-0.013379984275343612,-0.26125767523324156,-0.872430991019379,1.3697523810409329,-0.5490792374063618,0.2615922495332652
2.580000000000002,0.3860000000000028,0.0036891076373131246,0.07358737410674959,-0.5008602392035332,0.8893438863474286,-0.43861944445476175,-0.07367962112114429,-0.01206807097511843,-0.2366362203293001,-0.8391014684034065,1.3035208934608156,-0.5158540141037838,0.23693798863407017
2.600000000000002,0.4200000000000028,0.0044515887590378745,0.08872373232349236,-0.49009407216665424,0.8832677525663013,-0.44337129115788565,-0.08883504541732715,-0.010767426710743724,-0.2119337589392294,-0.7901249875722149,1.216363363999118,-0.47738366796535625,0.21220300330103944
2.620000000000002,0.45400000000000285,0.005214064704657835,0.10381928773277348,-0.47869278330124543,0.8759288575044941,-0.44750697842760356,-0.10394966680896349,-0.009531077529249895,-0.1882056781797735,-0.7288634504610284,1.1137879955094352,-0.435824110121121,0.18844400657449648
2.640000000000002,0.4880000000000029,0.005976534587675147,0.11886732991998912,-0.4666498953033916,0.8673035447367825,-0.4510092766744458,-0.11901677486480766,-0.008388118201135289,-0.1660766587652074,-0.6591449360591194,1.0022976566212018,-0.393850865332222,0.16628640664833955
2.660000000000002,0.5220000000000029,0.006738997521634251,0.1338612768076147,-0.4539559889258252,0.85736281090864,-0.45385854381765334,-0.13402978749070954,-0.007349619321327329,-0.14582600699752485,-0.5858297802328111,0.8906861575594269,-0.3553932142123515,0.14600978659614866
2.680000000000002,0.5560000000000029,0.007644100633149823,0.15158137450910145,-0.49810904058426897,0.9271268764389125,-0.47959830216942345,-0.1517725177780745,-0.006514744491207029,-0.12945729076599452,-0.5591191357183752,0.8604250518792944,-0.3517281981555205,0.12962019389352036
2.700000000000002,0.590000000000003,0.008713655549581959,0.17239717748251374,-0.5767712722308749,1.0443469838480568,-0.5183286869881645,-0.17261506564401122,-0.005752279421390411,-0.11444675847103478,-0.5566845435890224,0.8699755423358373,-0.36362052427559466,0.11459059582021829
2.720000000000002,0.624000000000003,0.009885918221016617,0.1950390250424918,-0.6542060734339611,1.1561819070972639,-0.5529429791802852,-0.19528622651207303,-0.004989807663233052,-0.09938405248018319,-0.5535208761125738,0.8782197386027413,-0.37494702094934906,0.09950882392556508
2.740000000000002,0.658000000000003,0.011145167338648775,0.21913653409385525,-0.726019849033089,1.2549987509120488,-0.5802049814146554,-0.21941522422257073,-0.004227330103203597,-0.08427579434897833,-0.5496480461285893,0.8851850004690229,-0.3857151909113604,0.08438149978172556
2.760000000000002,0.6920000000000031,0.012455824066662052,0.24394537399811445,-0.7884511250751688,1.3350197194567266,-0.5980954634952734,-0.24425683851449354,-0.0034648476278111634,-0.06912872900999821,-0.5450834172818362,0.890893531439477,-0.3959299222488595,0.06921536833790971
2.780000000000002,0.7260000000000031,0.01375701562499867,0.2682753957278981,-0.837739338609268,1.3912138073731521,-0.6053309798085651,-0.26861939820955166,-0.002702361123599164,-0.053949707391541785,-0.5398420750983288,0.8953629292156551,-0.40559376764345567,0.054017280539047086
2.800000000000002,0.7600000000000031,0.014961172533088549,0.29050505776430824,-0.8697885370142218,1.4185738003203898,-0.6009738647351861,-0.2908791719939311,-0.0019398714771391137,-0.03874566832032548,-0.5339370277800273,0.8986066059803477,-0.41470716372267036,0.03879417522848105
2.820000000000002,0.7940000000000031,0.0154040595611577,0.29860848818208086,-0.8841883314647829,1.4189324482671197,-0.5870612963644128,-0.2989936775325562,-0.0016259044459744632,-0.03247954574071598,-0.5268305312730239,0.8995883287901232,-0.4227842041632772,0.03252020183118837
